condition_label,seed,final_qd_score,best_fitness_reached,auc_qd_score,extinction_count,mean_extinction_interval,gen_best_fitness
encoder_post,13,99128.98831825494,0.0,189171560.47421554,19,105.0,825
encoder_post,20,128255.20316200494,0.0,195950038.32577807,19,105.0,1025
encoder_post,42,108644.22659950494,0.0,187561637.03671554,19,105.0,945
encoder_post,7,93044.94534950494,0.0,177843802.2613249,19,105.0,1755
encoder_post,99,144815.46878700494,0.0,208548676.9326506,19,105.0,725
encoder_pre,13,90438.03909950494,0.0,174226800.2691374,19,105.0,1480
encoder_pre,20,98723.85550575494,0.0,185175168.1890593,19,105.0,625
encoder_pre,42,94564.82034950494,0.0,180333663.68710616,19,105.0,460
encoder_pre,7,144815.46878700494,0.0,203255831.6479216,19,105.0,715
encoder_pre,99,104122.48441200494,0.0,188367085.13241866,19,105.0,390
fitness_trigger_default,13,102197.81644325494,0.0,185047584.4781218,12,123.63636363636364,1420
fitness_trigger_default,20,93259.96878700494,0.0,177488620.8160124,10,178.33333333333334,1385
fitness_trigger_default,42,83940.76956825494,-12.092284202575684,170868523.2671843,12,135.45454545454547,1275
fitness_trigger_default,7,95110.10550575494,0.0,176444110.55234054,14,125.38461538461539,1725
fitness_trigger_default,99,98904.32425575494,0.0,182657744.18515304,14,128.46153846153845,1005
random_fixed_count_12,13,97825.26566200494,0.0,185702635.12265304,12,166.8181818181818,585
random_fixed_count_12,20,92526.71878700494,0.0,179897527.5738249,12,144.0909090909091,940
random_fixed_count_12,42,95532.03909950494,0.0,193770503.9410124,12,156.8181818181818,180
random_fixed_count_12,7,95735.25003700494,0.0,183439282.2027312,12,170.45454545454547,825
random_fixed_count_12,99,98215.20316200494,0.0,187997286.0113249,12,165.9090909090909,600
random_fixed_count_15,13,98026.76175575494,0.0,183042821.95859054,15,131.07142857142858,395
random_fixed_count_15,20,77338.29691200494,0.0,171345192.24179366,15,124.28571428571429,1060
random_fixed_count_15,42,102124.04300575494,0.0,183138767.9156218,15,123.21428571428571,180
random_fixed_count_15,7,79186.83597450494,0.0,181529834.0581999,15,138.92857142857142,650
random_fixed_count_15,99,110274.72659950494,0.0,194969947.39804366,15,134.64285714285714,1200
static_freq10,13,86480.53909950494,0.0,178049369.03866866,39,50.0,845
static_freq10,20,92786.39066200494,0.0,175709702.20273116,39,50.0,330
static_freq10,42,91227.99222450494,-12.232742309570312,176080041.42148116,39,50.0,355
static_freq10,7,92029.50003700494,0.0,179694547.4956999,39,50.0,845
static_freq10,99,100132.29300575494,0.0,175705934.7124968,39,50.0,740
static_freq27,13,90743.49222450494,0.0,186131708.8628874,14,135.0,525
static_freq27,20,94719.82816200494,0.0,186818729.4097624,14,135.0,895
static_freq27,42,105960.29300575494,0.0,183189371.09921554,14,135.0,405
static_freq27,7,91328.19534950494,-12.12888240814209,193296266.36288744,14,135.0,1690
static_freq27,99,101748.70316200494,0.0,191197613.88241866,14,135.0,770
static_freq33,13,93834.66800575494,0.0,177775585.9624968,12,165.0,1235
static_freq33,20,87385.65238075494,0.0,185263716.13827804,12,165.0,570
static_freq33,42,99526.39847450494,0.0,188116492.6910124,12,165.0,965
static_freq33,7,95819.92191200494,0.0,180903052.9644499,12,165.0,685
static_freq33,99,95579.93363075494,0.0,192515663.1499968,12,165.0,700
