condition_label,seed,final_qd_score,best_fitness_reached,auc_qd_score,extinction_count,mean_extinction_interval,gen_best_fitness
adaptive_topk10,20,89560.14066200494,0.0,187680372.00741866,16,116.0,970
adaptive_default,20,97923.33206825494,0.0,186759266.9390593,19,87.5,830
adaptive_topk30,20,94443.55472450494,0.0,182594077.94491866,23,72.04545454545455,1010
adaptive_patience5,20,92818.83597450494,-10.83668327331543,190122792.0660124,23,77.72727272727273,595
adaptive_patience20,20,86411.07034950494,0.0,190023874.81991866,12,127.72727272727273,1355
adaptive_alpha01,20,93152.51566200494,0.0,184957265.3472624,23,73.4090909090909,1660
adaptive_alpha03,20,83746.89066200494,0.0,183215379.4878874,23,77.04545454545455,830
no_extinction,20,98319.16409950494,0.0,187741255.3081999,0,,1145
static,20,95855.35550575494,-11.959310531616213,181979007.89609054,39,50.0,1285
adaptive_topk10,42,96613.27347450494,0.0,177774453.45273116,15,118.92857142857143,500
adaptive_topk10,7,98451.56253700494,0.0,193320128.2378874,7,242.5,555
adaptive_topk10,13,144815.46878700494,0.0,219100904.98532394,10,127.77777777777777,565
adaptive_topk10,99,106733.62503700494,0.0,191256326.06991866,13,114.16666666666667,765
adaptive_default,42,90628.73441200494,0.0,183714815.1519499,11,135.5,515
adaptive_default,7,144815.46878700494,0.0,189354010.7027922,12,129.0909090909091,555
adaptive_default,13,95764.12113075494,0.0,187184217.6031218,14,131.92307692307693,565
adaptive_default,99,144815.46878700494,0.0,193029922.95224288,14,126.92307692307692,770
adaptive_topk30,42,107459.85159950494,0.0,187158068.1109343,13,141.25,515
adaptive_topk30,7,94371.16409950494,0.0,186672755.9331999,13,104.58333333333333,555
adaptive_topk30,13,97982.91409950494,0.0,206182248.3868132,19,96.66666666666667,860
adaptive_topk30,99,102842.57816200494,0.0,192853756.63876632,17,108.125,1105
adaptive_patience5,42,96088.67581825494,0.0,189906878.3160124,11,168.5,530
adaptive_patience5,7,144815.46878700494,0.0,232697411.48373702,8,90.71428571428571,735
adaptive_patience5,13,123224.57425575494,0.0,192514806.40942672,11,168.0,695
adaptive_patience5,99,106180.42972450494,0.0,188179714.19491866,9,168.75,950
adaptive_patience20,42,128854.57425575494,0.0,190476362.1050749,5,240.0,1480
adaptive_patience20,7,121324.73441200494,0.0,199844746.75839522,14,112.6923076923077,905
adaptive_patience20,13,96887.57425575494,0.0,186260503.79452804,8,127.14285714285714,645
adaptive_patience20,99,101041.50003700494,-11.982148170471191,188237279.3706999,14,111.53846153846153,1505
adaptive_alpha01,42,104591.21488075494,0.0,186042259.0484343,8,161.42857142857142,515
adaptive_alpha01,7,98050.70706825494,0.0,187200921.84140304,11,128.5,555
adaptive_alpha01,13,104697.71097450494,0.0,188147777.90585616,12,155.45454545454547,565
adaptive_alpha01,99,144815.46878700494,0.0,193029922.95224288,14,126.92307692307692,770
adaptive_alpha03,42,90616.31644325494,0.0,186523412.6421843,11,172.5,515
adaptive_alpha03,7,98911.39066200494,0.0,191232606.17734054,14,114.61538461538461,555
adaptive_alpha03,13,95764.12113075494,0.0,187184217.6031218,14,131.92307692307693,565
adaptive_alpha03,99,144815.46878700494,0.0,193029922.95224288,14,126.92307692307692,770
no_extinction,42,99779.99222450494,0.0,186652187.6519499,0,,770
no_extinction,7,144815.46878700494,0.0,232870954.53549483,0,,690
no_extinction,13,102198.92972450494,0.0,179928448.88241866,0,,825
no_extinction,99,144815.46878700494,0.0,189786599.03256515,0,,1265
static,42,99596.57034950494,0.0,178908391.6753874,39,50.0,1205
static,7,95562.91409950494,0.0,185644524.0191374,39,50.0,700
static,13,93882.32034950494,0.0,186008579.2144499,39,50.0,440
static,99,86484.62894325494,0.0,180565272.97421554,39,50.0,740
