condition_label,seed,final_qd_score,best_fitness_reached,auc_qd_score,extinction_count,mean_extinction_interval,gen_best_fitness
adaptive_default,20,96446.83988075494,27.0,186131751.4312468,15,115.0,1425
adaptive_default,42,106412.60159950494,59.0,182069713.4722624,10,157.22222222222223,1480
adaptive_topk10,7,92556.32034950494,38.0,190288469.70273116,10,166.11111111111111,1490
adaptive_topk10,13,100348.11331825494,62.0,184233833.5015593,10,180.55555555555554,1845
adaptive_topk10,20,96565.81253700494,21.0,190880821.8706999,8,208.57142857142858,1945
adaptive_topk10,42,106542.65628700494,68.0,187119426.5972624,11,162.0,1565
adaptive_topk10,99,102078.54300575494,53.0,187190857.81796554,16,108.66666666666667,1750
adaptive_default,7,100657.12113075494,44.0,190891240.66952804,10,170.55555555555554,1920
adaptive_default,13,106332.49613075494,69.0,196054369.88583663,14,130.3846153846154,1890
adaptive_topk30,20,100046.64847450494,50.0,190279748.3941374,12,143.1818181818182,1510
adaptive_default,99,101387.72659950494,45.0,186682772.67148116,10,174.44444444444446,815
adaptive_topk30,42,102286.70316200494,58.0,181665078.56991866,12,154.54545454545453,1905
adaptive_topk30,7,101803.52347450494,35.0,195762685.17148116,12,132.27272727272728,995
adaptive_topk30,13,118610.77347450494,61.0,190609915.3374968,7,213.33333333333334,1925
adaptive_topk30,99,92695.90628700494,56.0,182853691.4410124,16,115.0,1640
adaptive_patience5,20,93807.72659950494,28.0,186946275.0347624,12,148.63636363636363,1745
adaptive_patience5,42,104239.40628700494,37.0,186999570.6597624,11,160.0,1795
adaptive_patience5,7,107800.91800575494,64.0,188580021.2359343,9,153.75,1935
adaptive_patience5,13,98858.77347450494,57.0,185684579.58554366,10,177.22222222222223,1965
adaptive_patience5,99,103475.42191200494,60.0,188957153.41366866,11,152.0,1945
adaptive_patience20,20,92464.25003700494,28.0,183797428.10116866,5,328.75,1685
adaptive_patience20,42,107006.41800575494,55.0,188165365.16171554,8,182.85714285714286,1940
adaptive_patience20,7,96957.37503700494,33.0,188838613.7066374,12,127.72727272727273,1010
adaptive_patience20,99,101041.50003700494,-11.982148170471191,188237279.3706999,14,111.53846153846153,1505
adaptive_alpha01,20,99410.94534950494,34.0,188473452.5738249,8,200.0,1965
adaptive_alpha01,42,106412.60159950494,59.0,182069713.4722624,10,157.22222222222223,1480
adaptive_alpha01,7,84340.22659950494,34.0,183928452.08554366,8,207.14285714285714,1845
adaptive_alpha01,13,110630.00394325494,66.0,187874245.7671843,10,183.88888888888889,1975
adaptive_alpha01,99,101387.72659950494,45.0,186682772.67148116,10,174.44444444444446,815
adaptive_alpha03,20,96446.83988075494,27.0,186131751.4312468,15,115.0,1425
adaptive_alpha03,42,100336.58597450494,62.0,185346577.82773116,13,137.5,1755
adaptive_alpha03,7,95242.70706825494,43.0,191679065.1421843,13,109.58333333333333,1995
adaptive_alpha03,13,106638.10941200494,68.0,190931117.0562468,14,132.69230769230768,1875
adaptive_alpha03,99,89597.19144325494,45.0,186579849.77109054,13,145.0,815
no_extinction,20,105226.24222450494,48.0,189499636.42148116,0,,1745
no_extinction,42,97180.90238075494,31.0,189431686.37265304,0,,770
no_extinction,7,108994.21878700494,62.0,191447978.8238249,0,,1950
no_extinction,13,104377.36722450494,47.0,179731525.87460616,0,,1855
no_extinction,99,95167.66409950494,67.0,182972440.60116866,0,,1585
static,20,95855.35550575494,-11.959310531616213,181979007.89609054,39,50.0,1285
static,7,97581.73441200494,31.0,186450609.6050749,39,50.0,1685
static,99,95593.38675575494,55.0,183804525.0640593,39,50.0,1125
static,42,90287.21878700494,20.0,177981025.6988249,39,50.0,1205
static,13,97773.78909950494,24.0,184965175.44491866,39,50.0,1310
