generation,wall_time_s,archive_size,qd_score,max_fitness,mean_fitness,mean_fitness_top_k,extinction_event,trigger_recent_rate,trigger_historical_rate,trigger_ratio,trigger_fired,d_min_recent_volatility,d_min_historical_volatility,d_min_volatility_ratio,d_min_trigger_fired,extinction_remaining_prop,latent_bbox_volume,latent_space_diameter,latent_pca_volume,repertoire_d_min,archive_n_occupied,archive_coverage,archive_occupancy_entropy
5,4.926131248474121,1024,-72323.4375,-13.174542427062988,-70.62835693359375,-51.82183837890625,False,nan,nan,nan,False,nan,nan,nan,False,nan,25426685952.0,54.511478424072266,2057083176353792.0,0.26929986476898193,1024,1.0,2.894252300262451
10,6.076516151428223,1024,-66490.953125,-13.174542427062988,-64.93257141113281,-37.34046936035156,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,35165569024.0,52.845149993896484,1.2801362626609152e+16,0.41393378376960754,1024,1.0,3.0525331497192383
15,27.45172882080078,1024,-74173.1796875,-12.879233360290527,-72.43474578857422,-53.65449523925781,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.6115731596946716,2.254261016845703,16713.287109375,0.06117983162403107,1024,1.0,4.548973560333252
20,28.437129974365234,1024,-74246.2421875,-12.879233360290527,-72.50609588623047,-52.64570236206055,False,nan,nan,nan,False,nan,nan,nan,False,nan,1.219590187072754,2.220026969909668,59570.64453125,0.08473474532365799,1024,1.0,4.630603790283203
25,29.42824935913086,1024,-73440.8046875,-12.879233360290527,-71.71953582763672,-50.249332427978516,False,nan,nan,nan,False,nan,nan,nan,False,nan,1.4491593837738037,2.1439101696014404,142636.640625,0.09502196311950684,1024,1.0,4.805301666259766
30,30.459863662719727,1024,-71631.875,-12.621318817138672,-69.9530029296875,-46.50124740600586,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,1.721415400505066,2.288004159927368,242889.21875,0.10507771372795105,1024,1.0,4.809779167175293
35,53.13498306274414,1024,-46910.6953125,-12.621318817138672,-45.81122589111328,-42.043357849121094,False,nan,nan,nan,False,nan,nan,nan,False,nan,795.4297485351562,5.933300495147705,1103855.375,0.6370851993560791,1024,1.0,0.7372226715087891
40,54.83284378051758,1024,-48360.859375,-12.621318817138672,-47.22740173339844,-41.56621170043945,False,nan,nan,nan,False,nan,nan,nan,False,nan,1177.94384765625,5.960785388946533,8347985.0,0.26528558135032654,1024,1.0,1.0725960731506348
45,55.78471755981445,1024,-54492.8671875,-12.621318817138672,-53.21569061279297,-40.437705993652344,False,nan,nan,nan,False,nan,nan,nan,False,nan,1442.541748046875,6.16431999206543,369494400.0,0.26528558135032654,1024,1.0,2.1237597465515137
50,56.79954528808594,1024,-60226.3671875,-12.621318817138672,-58.81481170654297,-39.4206428527832,False,nan,nan,nan,False,nan,nan,nan,False,nan,1540.7503662109375,6.135073184967041,2077868032.0,0.26528558135032654,1024,1.0,3.0810189247131348
55,57.79640197753906,1024,-65087.171875,-12.621318817138672,-63.56169128417969,-38.623817443847656,False,nan,nan,nan,False,nan,nan,nan,False,nan,2538.683349609375,6.031949520111084,3654996480.0,0.2766275703907013,1024,1.0,3.4852535724639893
60,59.73673629760742,1024,-62793.19140625,-12.621318817138672,-61.321475982666016,-37.63278579711914,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,3305.562255859375,6.199038505554199,4276041472.0,0.30839335918426514,1024,1.0,3.6620945930480957
65,90.68058013916016,1024,-49686.81640625,-12.621318817138672,-48.522281646728516,-42.181365966796875,False,nan,nan,nan,False,nan,nan,nan,False,nan,6.8271355628967285,2.6366260051727295,1988.578125,0.12343468517065048,1024,1.0,1.3837203979492188
70,91.62240600585938,1024,-47504.90625,-12.621318817138672,-46.391510009765625,-43.38200378417969,False,nan,nan,nan,False,nan,nan,nan,False,nan,14.019063949584961,3.3968570232391357,316.0347595214844,0.25726309418678284,1024,1.0,0.8044042587280273
75,92.57496643066406,1024,-48219.96875,-12.621318817138672,-47.089813232421875,-43.183284759521484,False,nan,nan,nan,False,nan,nan,nan,False,nan,16.89284324645996,3.5737602710723877,2101.094970703125,0.25726309418678284,1024,1.0,0.799547553062439
80,93.72393798828125,1024,-49532.6953125,-12.621318817138672,-48.37177276611328,-42.67620849609375,False,nan,nan,nan,False,nan,nan,nan,False,nan,21.286527633666992,3.6654200553894043,16250.2529296875,0.22900016605854034,1024,1.0,1.1142522096633911
85,94.80785369873047,1024,-51614.80078125,-12.621318817138672,-50.40507888793945,-42.62017822265625,False,nan,nan,nan,False,nan,nan,nan,False,nan,21.692461013793945,3.6654200553894043,81800.4453125,0.19941771030426025,1024,1.0,1.514078140258789
90,96.90267181396484,1024,-53770.9921875,-12.621318817138672,-52.51073455810547,-42.42914581298828,False,nan,nan,nan,False,nan,nan,nan,False,nan,30.303701400756836,3.638890027999878,334472.53125,0.19941771030426025,1024,1.0,1.8938283920288086
95,98.03181457519531,1024,-60982.2421875,-12.621318817138672,-59.55297088623047,-41.07396697998047,False,nan,nan,nan,False,nan,nan,nan,False,nan,43.876407623291016,3.699312210083008,3458036.0,0.14535121619701385,1024,1.0,2.9238805770874023
100,99.1379623413086,1024,-68706.359375,-12.621318817138672,-67.09605407714844,-39.59428024291992,True,nan,nan,nan,False,nan,nan,nan,False,0.05000000074505806,164.9075164794922,3.865973472595215,12202991.0,0.1382233053445816,1024,1.0,3.4972827434539795
