generation,wall_time_s,archive_size,qd_score,max_fitness,mean_fitness,mean_fitness_top_k,extinction_event,trigger_recent_rate,trigger_historical_rate,trigger_ratio,trigger_fired,d_min_recent_volatility,d_min_historical_volatility,d_min_volatility_ratio,d_min_trigger_fired,extinction_remaining_prop,latent_bbox_volume,latent_space_diameter,latent_pca_volume,repertoire_d_min,archive_n_occupied,archive_coverage,archive_occupancy_entropy
5,4.901837348937988,1024,-72323.4375,-13.174542427062988,-70.62835693359375,-51.82183837890625,False,nan,nan,nan,False,nan,nan,nan,False,nan,25426685952.0,54.511478424072266,2057083176353792.0,0.26929986476898193,1024,1.0,2.894252300262451
10,6.232378005981445,1024,-66490.953125,-13.174542427062988,-64.93257141113281,-37.34046936035156,False,nan,nan,nan,False,nan,nan,nan,False,nan,35165569024.0,52.845149993896484,1.2801362626609152e+16,0.41393378376960754,1024,1.0,3.0525331497192383
15,27.9622745513916,1024,-69885.625,-13.174542427062988,-68.2476806640625,-40.1905632019043,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.0016068428521975875,0.8596846461296082,430.41619873046875,0.032396696507930756,1024,1.0,4.546347618103027
20,28.942794799804688,1024,-69862.09375,-13.174542427062988,-68.22470092773438,-40.7362060546875,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.0017375773750245571,0.828195333480835,651.0843505859375,0.03904037922620773,1024,1.0,4.676075458526611
25,29.920833587646484,1024,-69514.9375,-13.13359260559082,-67.88568115234375,-40.21432113647461,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.0022332181688398123,0.8482153415679932,921.0237426757812,0.04381405934691429,1024,1.0,4.610079288482666
30,30.9046573638916,1024,-68358.0078125,-13.121350288391113,-66.75586700439453,-39.52876281738281,False,nan,nan,nan,False,nan,nan,nan,False,nan,0.0021872492507100105,0.904830276966095,1218.5633544921875,0.047527749091386795,1024,1.0,4.760354995727539
35,52.00093460083008,1024,-70319.984375,-13.121350288391113,-68.67185974121094,-40.899593353271484,False,nan,nan,nan,False,nan,nan,nan,False,nan,552.4283447265625,3.741628646850586,189610624.0,0.224573016166687,1024,1.0,4.3684797286987305
40,52.96840286254883,1024,-69880.09375,-12.972938537597656,-68.24227905273438,-40.81305694580078,False,nan,nan,nan,False,nan,nan,nan,False,nan,846.2545776367188,3.662977933883667,294143104.0,0.2539372146129608,1024,1.0,4.374164581298828
45,53.94926452636719,1024,-68979.734375,-12.972938537597656,-67.36302185058594,-39.83254623413086,False,nan,nan,nan,False,nan,nan,nan,False,nan,50664.734375,4.096476078033447,2362401792.0,0.273734450340271,1024,1.0,4.085916996002197
50,54.92890167236328,1024,-67878.7578125,-12.972938537597656,-66.28784942626953,-39.56128692626953,False,nan,nan,nan,False,nan,nan,nan,False,nan,50955.984375,39.550872802734375,3437119488.0,0.29333505034446716,1024,1.0,4.150716781616211
55,56.05879211425781,1024,-66569.359375,-12.972938537597656,-65.00914001464844,-38.564327239990234,False,nan,nan,nan,False,nan,nan,nan,False,nan,52324.96484375,4.675350189208984,4133667840.0,0.3059583008289337,1024,1.0,4.208373069763184
60,57.264495849609375,1024,-65738.9296875,-12.972938537597656,-64.19817352294922,-37.924827575683594,False,nan,nan,nan,False,nan,nan,nan,False,nan,62325.296875,4.582753658294678,4561088512.0,0.31516900658607483,1024,1.0,4.186356544494629
65,75.05364227294922,1024,-66118.7734375,-12.947660446166992,-64.5691146850586,-38.781185150146484,False,nan,nan,nan,False,nan,nan,nan,False,nan,232.5716094970703,4.968005657196045,128995144.0,0.2675330638885498,1024,1.0,4.662757873535156
70,76.20719909667969,1024,-66154.3984375,-12.947660446166992,-64.6039047241211,-38.211647033691406,False,nan,nan,nan,False,nan,nan,nan,False,nan,307.6216125488281,2.6676948070526123,184042192.0,0.291923850774765,1024,1.0,4.61660623550415
75,77.37535858154297,1024,-66020.453125,-12.947660446166992,-64.47309875488281,-38.291202545166016,False,nan,nan,nan,False,nan,nan,nan,False,nan,583.8233032226562,2.9410858154296875,269573856.0,0.3073401153087616,1024,1.0,4.6660990715026855
80,78.54036712646484,1024,-66155.4296875,-12.886795043945312,-64.60491180419922,-38.22804260253906,False,nan,nan,nan,False,nan,nan,nan,False,nan,691.5652465820312,5.542580604553223,327593696.0,0.31969812512397766,1024,1.0,4.676928997039795
85,79.7154541015625,1024,-66034.21875,-12.886795043945312,-64.48654174804688,-38.419944763183594,False,nan,nan,nan,False,nan,nan,nan,False,nan,711.2926025390625,2.8607635498046875,383676032.0,0.3283003270626068,1024,1.0,4.7216949462890625
90,80.85200500488281,1024,-65827.625,-12.746064186096191,-64.2847900390625,-38.10083770751953,False,nan,nan,nan,False,nan,nan,nan,False,nan,768.9054565429688,5.112939357757568,411093152.0,0.33414292335510254,1024,1.0,4.715728282928467
95,82.00123596191406,1024,-66046.265625,-12.717411994934082,-64.49830627441406,-38.34560012817383,False,nan,nan,nan,False,nan,nan,nan,False,nan,785.4653930664062,4.938750743865967,451277440.0,0.3431949317455292,1024,1.0,4.712949752807617
